field,employment_m,employment_f,postdoc_m,postdoc_f
Agricultural sciences and natural resources,78000,66000,42750,44000
Biological and biomedical sciences,75000,66000,42000,42000
Health sciences,75000,75000,43000,43250
Chemistry,80000,75000,42000,42000
"Geosciences, atmospheric, and ocean sciences",75166.5,71750,50000,50000
Physics and astronomy,95000,97650,50000,53000
Mathematics and computer sciences,105000,90000,58000,55000
Psychology,63000,60000,42000,42000
Economics,105000,95750,65000,65000
Social sciences,64000,62000,48000,49250
Engineering,95000,90000,45000,45000
Education,71000,63000,50000,45000
Humanities and arts,52000,50000,45000,45000
Business management and administration,123500,120000,60000,63500
Other non-S&E fields,62800,61000,50000,44000
